indeks_katalogowy,nazwa,zdjecie,rozmiar,material,vat,cena_FV_brutto,cena_detal,stan_magazynowy,producent,opis_tekstowy,jednostka_wymiaru,szerokosc,wysokosc,ostatnia_aktualizacja
000604,000604 OBRAZEK ANIOŁKI 7x9 CM,https://wikomistral.ddns.net/Obrazki/000604_000604-606.jpg,7x9 cm,Mirosilver,23,45.76,118.98,44,VALENTI & CO.SRL,"000605, 000606",cm,"7,000","9,000",2025-11-01 02:42:15
000606,000606 OBRAZEK ANIOŁKI 13x18 CM,https://wikomistral.ddns.net/Obrazki/000606_000604-606.jpg,13x18 cm,Mirosilver,23,121.77,267.89,16,VALENTI & CO.SRL,"000604, 000605",cm,"13,000","18,000",2025-11-01 02:42:15
003130,003130 KRZYŻ 20x36 CM,https://wikomistral.ddns.net/Obrazki/003130_003130.jpg,20x36 cm,Mirosilver,23,388.68,699.62,6,VALENTI & CO.SRL,,cm,"20,000","36,000",2025-11-01 02:42:15
003131,003131 KRZYŻ 14x24 CM,https://wikomistral.ddns.net/Obrazki/003131_003131.jpg,14x24 cm,Mirosilver,23,226.32,452.64,9,VALENTI & CO.SRL,,cm,"14,000","24,000",2025-11-01 02:42:15
1107/4L,1107/4L RAMKA NA ZDJĘCIE 13x18 CM,https://wikomistral.ddns.net/Obrazki/1107.4L_1107 (1).jpg,13x18 cm,Mirosilver,23,33.83,87.96,85,Beltrami s.r.l.,ECO,cm,"13,000","18,000",2025-11-01 02:42:15
1107RAM/3XL,1107RAM/3XL RAMKA PAMIĄTKA ŚLUBU 10x15    CM,https://wikomistral.ddns.net/Obrazki/1107RAM.3XL_1107.jpg,10x15 cm,Mirosilver,23,49.20,127.92,362,Celebration by Ann,ECO,cm,"10,000","15,000",2025-11-01 02:42:15
1107RAM/4L,1107RAM/4L RAMKA PAMIĄTKA ŚLUBU 13x18 CM,https://wikomistral.ddns.net/Obrazki/1107RAM.4L_1107.jpg,13x18 cm,Mirosilver,23,61.50,147.60,284,Celebration by Ann,ECO,cm,"13,000","18,000",2025-11-01 02:42:15
1107RAM/5L,1107RAM/5L RAMKA PAMIĄTKA ŚLUBU 18x24 CM,https://wikomistral.ddns.net/Obrazki/1107RAM.5L_1107.jpg,18x24 cm,Mirosilver,23,110.70,243.54,189,Celebration by Ann,ECO,cm,"18,000","24,000",2025-11-01 02:42:15
1123N/3XL,1123N/3XL RAMKA 10x15 CM,https://wikomistral.ddns.net/Obrazki/1123N.3XL_1123N.jpg,10x15 cm,Mirosilver,23,49.20,127.92,19,Celebration by Ann,ECO,cm,"10,000","15,000",2025-11-01 02:42:15
1148N,1148N RAMKA PAMIĄTKA CHRZTU ŚW. 6x9 CM,https://wikomistral.ddns.net/Obrazki/1148N_1148N.jpg,6x9 cm,Mirosilver,23,101.66,223.65,10,Beltrami s.r.l.,,cm,"6,000","9,000",2025-11-01 02:42:15
1165N/3BA,1165N/3BA RAMKA PAMIĄTKA I KOMUNII ŚW.  9x13 CM,https://wikomistral.ddns.net/Obrazki/1165N.3BA_1165N-A.jpg,9x13 cm,Mirosilver,23,109.84,241.65,38,Beltrami s.r.l.,,cm,"9,000","13,000",2025-11-01 02:42:15
1165N/3BO,1165N/3BO RAMKA PAMIĄTKA I KOMUNII ŚW.  9x13 CM,https://wikomistral.ddns.net/Obrazki/1165N.3BO_1165N-O.jpg,9x13 cm,Mirosilver,23,109.84,241.65,40,Beltrami s.r.l.,,cm,"9,000","13,000",2025-11-01 02:42:15
1165N/4BA,1165N/4BA RAMKA PAMIĄTKA I KOMUNII ŚW.  13x18 CM,https://wikomistral.ddns.net/Obrazki/1165N.4BA_1165N-A.jpg,13x18 cm,Mirosilver,23,170.60,341.20,32,Beltrami s.r.l.,,cm,"13,000","18,000",2025-11-01 02:42:15
1165N/4BO,1165N/4BO RAMKA PAMIĄTKA I KOMUNII ŚW.  13x18 CM,https://wikomistral.ddns.net/Obrazki/1165N.4BO_1165N-O.jpg,13x18 cm,Mirosilver,23,170.60,341.20,24,Beltrami s.r.l.,,cm,"13,000","18,000",2025-11-01 02:42:15
1168N/3B,1168N/3B RAMKA PAMIĄTKA CHRZTU ŚW. 13x9  CM,https://wikomistral.ddns.net/Obrazki/1168N.3B_1168N.jpg,13x9 cm,Mirosilver,23,116.85,257.07,11,Beltrami s.r.l.,,cm,"13,000","9,000",2025-11-01 02:42:15
1184/3B,1184/3B RAMKA PAMIĄTKA I KOMUNII ŚW.  13x9 CM,https://wikomistral.ddns.net/Obrazki/1184.3B_1184.jpg,13x9 cm,Mirosilver,23,61.50,147.60,3,Beltrami s.r.l.,,cm,"13,000","9,000",2025-11-01 02:42:15
1329/3XL,1329/3XL RAMKA NA ZDJĘCIE 10x15 CM,https://wikomistral.ddns.net/Obrazki/1329.3XL_1329.jpg,10x15 cm,Mirosilver,23,199.81,399.62,0,Beltrami s.r.l.,,cm,"10,000","15,000",2025-11-01 02:42:15
1329/4L,1329/4L RAMKA NA ZDJĘCIE 13x18 CM,https://wikomistral.ddns.net/Obrazki/1329.4L_1329.jpg,13x18 cm,Mirosilver,23,246.55,493.10,0,Beltrami s.r.l.,,cm,"13,000","18,000",2025-11-01 02:42:15
18031/3L,"18031/3L OBRAZEK ARCHANIOŁ MICHAŁ 6,5x11  CM",https://wikomistral.ddns.net/Obrazki/18031.3L_18031.jpg,"6,5x11 cm",Mirosilver,23,74.78,179.47,5,VALENTI & CO.SRL,,cm,"0,000","0,000",2025-11-01 02:42:15
