indeks_katalogowy,ilosc_wiko,nazwa_produktu,cena_FV_brutto,cena_detal,ostatnia_aktualizacja
1107RAM/3XL,355,1107RAM/3XL RAMKA PAMIĄTKA ŚLUBU 10x15    CM,49.20,127.92,2026-02-28 01:35:58
1107RAM/4L,259,1107RAM/4L RAMKA PAMIĄTKA ŚLUBU 13x18 CM,61.50,147.60,2026-02-28 01:35:58
1107RAM/5L,183,1107RAM/5L RAMKA PAMIĄTKA ŚLUBU 18x24 CM,110.70,243.54,2026-02-28 01:35:58
1123N/3XL,19,1123N/3XL RAMKA 10x15 CM,49.20,127.92,2026-02-28 01:35:58
1148N,20,1148N RAMKA PAMIĄTKA CHRZTU ŚW. 6x9 CM,101.66,223.65,2026-02-28 01:35:58
1165N/3BA,32,1165N/3BA RAMKA PAMIĄTKA I KOMUNII ŚW.  9x13 CM,109.84,241.65,2026-02-28 01:35:58
1165N/3BO,39,1165N/3BO RAMKA PAMIĄTKA I KOMUNII ŚW.  9x13 CM,109.84,241.65,2026-02-28 01:35:58
1165N/4BA,30,1165N/4BA RAMKA PAMIĄTKA I KOMUNII ŚW.  13x18 CM,170.60,341.20,2026-02-28 01:35:58
1165N/4BO,22,1165N/4BO RAMKA PAMIĄTKA I KOMUNII ŚW.  13x18 CM,170.60,341.20,2026-02-28 01:35:58
1168N/3B,20,1168N/3B RAMKA PAMIĄTKA CHRZTU ŚW. 13x9  CM,116.85,257.07,2026-02-28 01:35:58
1184/3B,0,1184/3B RAMKA PAMIĄTKA I KOMUNII ŚW.  13x9 CM,61.50,147.60,2026-02-28 01:35:58
18029/4LPL,2,18029/4LPL OBRAZEK PAPIEŻ JAN PAWEŁ II  13x18 CM,122.39,269.26,2026-02-28 01:35:58
18045/5L,5,18045/5L OBRAZ MATKA BOŻA CZĘSTOCHOWSKA   18x24 CM,243.54,487.08,2026-02-28 01:35:58
18045/6L,2,18045/6L OBRAZ MATKA BOŻA CZĘSTOCHOWSKA  22x30 CM,311.19,560.14,2026-02-28 01:35:58
18133,6,18133 OBRAZ ŚW. RODZINA 80x50 CM,584.25,1051.65,2026-02-28 01:35:58
3647 B,9,"3647 B SKARBONKA DZIECIĘCA 19x7xh11,5 CM",181.12,362.24,2026-02-28 01:35:58
3647 C,10,"3647 C SKARBONKA DZIECIĘCA 19x7xh11,5 CM",181.12,362.24,2026-02-28 01:35:58
3647 R,0,"3647 R SKARBONKA DZIECIĘCA 19x7xh11,5 CM",181.12,362.24,2026-02-28 01:35:58
3857 C,0,"3857 C SKARBONKA DZIECIĘCA 8x8xh11,5 CM",155.41,310.82,2026-02-28 01:35:58
3857 RA,0,"3857 RA SKARBONKA DZIECIĘCA 8x8xh11,5 CM",155.41,310.82,2026-02-28 01:35:58
3858/1,3,3858/1 OBRAZEK ANIOŁEK 5x10 CM,38.13,99.14,2026-02-28 01:35:58
473-3135,47,473-3135 Skarbonka but niebieska,47.97,124.72,2026-02-28 01:35:58
473-3136,47,473-3136 Skarbonka but różowa,47.97,124.72,2026-02-28 01:35:58
473-3137,24,473-3137 Skarbonka miś niebieska,47.97,124.72,2026-02-28 01:35:58
473-3138,24,473-3138 Skarbonka miś różowa,47.97,124.72,2026-02-28 01:35:58
473-3141,48,473-3141 Skarbonka wózek niebieska,47.97,124.72,2026-02-28 01:35:58
